employee_id,age,gender,education_level,department,job_role,tenure_months,last_performance_rating,promotions_last_3yrs,training_hours_completed,certifications_count,salary_band,compensation_percentile,bonus_received,hike_percent_last_year,avg_monthly_hours,work_life_balance_score,engagement_score,job_satisfaction,absenteeism_days,manager_tenure,manager_change_count,team_size,peer_feedback_score,current_project_risk_score,project_complexity_level,client_importance_score,attrition,best_fit_role,project_risk_flag
56,31,Female,Master,Tax,Consultant,189,3,0,94,6,High,55,0,7,96,2,15,1,11,197,2,8,1,86,Medium,5,0,Senior Consultant,0
57,57,Other,Master,Audit,Manager,65,3,0,49,8,Mid,38,0,29,195,2,85,1,16,148,4,8,5,38,Low,67,0,Senior Manager,0
58,35,Male,Bachelor,Audit,Manager,203,1,0,190,1,Low,43,1,24,157,4,96,1,23,133,2,10,3,58,Low,75,0,Senior Manager,0
59,52,Male,PhD,Audit,Manager,164,4,1,175,3,Low,8,0,16,102,4,77,5,13,194,4,19,1,14,Low,68,0,Senior Manager,0
60,36,Other,MBA,Tax,Senior Consultant,224,4,0,65,7,Mid,53,0,28,147,2,9,3,3,53,1,3,2,16,Low,33,0,Manager,0
61,29,Other,MBA,Audit,Senior Consultant,220,2,0,109,8,Low,61,0,3,202,3,81,2,10,59,3,9,5,26,Low,51,0,Manager,0
62,35,Female,Master,Technology,Consultant,70,3,0,182,8,Mid,88,0,8,135,4,79,4,9,56,3,5,1,80,Medium,62,0,Senior Consultant,0
63,44,Female,Master,Technology,Senior Consultant,7,5,0,35,5,Mid,70,1,0,141,5,89,4,0,32,1,4,3,45,Low,84,0,Manager,0
64,42,Male,Bachelor,Technology,Consultant,61,4,0,28,1,Mid,46,0,13,96,4,33,4,17,55,0,4,4,52,Low,36,0,Senior Consultant,0
65,37,Female,Bachelor,Tax,Analyst,192,4,0,97,0,Low,9,0,6,234,1,77,5,15,206,1,12,2,44,Medium,84,0,Consultant,0
66,39,Male,MBA,Audit,Manager,104,2,1,174,3,Low,67,1,3,208,2,41,1,2,130,3,9,3,36,Medium,30,1,Senior Manager,0
67,45,Male,Master,Consulting,Manager,88,5,0,120,5,High,100,1,24,224,1,36,3,26,128,3,11,3,5,Medium,83,0,Senior Manager,0
68,47,Female,MBA,Audit,Partner,202,5,0,49,1,Mid,23,1,27,132,1,34,3,9,219,4,16,3,15,Medium,52,1,Partner,0
69,46,Male,Bachelor,Tax,Consultant,158,5,0,8,5,Low,31,0,16,141,3,96,1,28,98,1,9,1,24,Low,94,0,Senior Consultant,0
70,50,Female,Master,Technology,Partner,17,5,0,75,0,Low,34,1,7,226,4,4,4,14,198,4,8,2,48,Medium,86,0,Partner,0
71,36,Other,Master,Tax,Manager,172,3,0,84,5,Mid,35,0,16,115,5,37,2,9,216,4,6,4,52,Medium,15,0,Senior Manager,0
72,22,Male,Master,Audit,Partner,200,1,0,189,4,Low,48,0,5,105,4,10,3,6,108,2,6,2,28,High,44,1,Partner,0
73,46,Other,MBA,Tax,Analyst,76,5,1,4,1,Low,81,0,17,97,2,39,1,25,168,3,3,5,8,Low,76,0,Consultant,0
74,28,Other,PhD,Consulting,Partner,26,1,1,6,3,Mid,21,1,26,148,4,57,4,14,229,1,18,3,63,Low,1,0,Partner,0
75,30,Female,Bachelor,Tax,Analyst,145,1,1,171,8,High,67,0,8,116,3,52,5,27,20,1,6,4,29,Low,11,0,Consultant,0
76,45,Male,Bachelor,Risk Advisory,Manager,163,2,1,36,1,Mid,38,0,13,112,5,82,5,19,205,4,13,5,79,Low,86,0,Senior Manager,0
77,22,Male,Bachelor,Tax,Senior Consultant,174,5,0,124,4,Low,53,1,12,99,2,69,4,4,83,1,19,4,94,Medium,82,0,Manager,0
78,29,Male,Master,Audit,Consultant,108,3,0,2,2,Low,35,0,5,199,2,30,4,19,126,4,18,1,48,Medium,3,0,Senior Consultant,0
79,45,Male,Bachelor,Risk Advisory,Partner,133,2,1,142,1,Low,98,0,17,203,1,80,4,29,46,2,17,5,14,Low,43,0,Partner,0
80,32,Male,MBA,Technology,Analyst,45,2,0,82,9,Low,14,1,8,229,2,36,1,9,204,4,12,1,75,Medium,21,1,Consultant,0
81,38,Other,Master,Audit,Manager,75,1,1,112,7,Mid,80,1,5,127,3,10,2,4,195,2,19,3,69,Medium,20,1,Senior Manager,0
82,29,Male,Master,Consulting,Manager,144,4,0,2,9,Mid,58,0,27,166,1,48,2,5,176,3,14,1,61,High,95,0,Senior Manager,0
83,56,Female,MBA,Tax,Senior Consultant,58,3,0,83,8,Low,68,0,7,240,4,40,2,3,140,2,16,5,88,High,74,0,Manager,1
84,56,Male,Master,Tax,Manager,42,5,2,78,5,Mid,73,0,4,173,5,15,1,23,63,0,10,5,98,High,99,0,Senior Manager,1
85,54,Female,Master,Audit,Manager,94,5,0,101,4,Mid,38,0,26,182,5,6,5,16,127,1,3,1,74,High,36,0,Senior Manager,1
86,26,Other,Bachelor,Tax,Senior Consultant,188,3,0,141,6,High,15,0,7,227,2,32,1,9,101,4,17,1,10,Medium,75,1,Manager,0
87,49,Male,Master,Tax,Manager,184,5,0,3,2,Mid,54,1,8,240,5,44,1,28,237,4,11,5,19,Medium,95,0,Senior Manager,0
88,28,Male,Master,Technology,Analyst,232,4,0,162,5,Low,65,0,0,159,4,38,1,0,217,4,8,5,16,Low,71,0,Consultant,0
89,30,Female,Master,Tax,Partner,134,4,1,135,6,High,10,0,18,121,5,34,4,27,103,2,12,2,11,High,59,1,Partner,0
90,29,Female,PhD,Tax,Partner,20,5,0,162,0,Low,11,1,23,157,1,81,4,25,11,0,3,2,64,Medium,62,0,Partner,0
91,33,Female,PhD,Technology,Analyst,212,2,0,67,3,Mid,95,0,15,214,2,45,5,20,26,3,10,1,40,Medium,8,1,Consultant,0
92,55,Male,MBA,Tax,Partner,24,5,1,35,6,Mid,36,1,24,155,3,41,3,17,224,3,9,4,74,Medium,18,0,Partner,0
93,54,Male,Bachelor,Technology,Manager,91,5,0,77,9,Low,98,0,3,183,5,66,2,16,211,3,18,5,7,High,93,0,Senior Manager,0
94,44,Other,MBA,Consulting,Partner,195,3,1,171,5,Low,57,0,19,144,5,31,5,12,97,3,10,3,91,Medium,43,0,Partner,0
95,45,Other,Bachelor,Tax,Partner,216,4,0,63,9,Low,38,0,23,93,2,92,5,13,204,4,14,2,63,High,78,0,Partner,0
96,58,Female,Bachelor,Audit,Manager,52,2,0,194,1,Low,81,0,13,199,1,30,3,13,30,3,19,1,33,High,45,1,Senior Manager,0
97,56,Female,Bachelor,Risk Advisory,Partner,138,3,0,19,7,Mid,68,0,0,170,2,98,4,29,113,3,3,3,86,Medium,8,0,Partner,0
98,43,Female,Bachelor,Consulting,Manager,153,3,0,71,6,Mid,37,1,2,89,3,76,3,4,144,1,6,5,84,High,35,0,Senior Manager,1
99,48,Male,Bachelor,Tax,Senior Consultant,220,2,0,184,1,Low,18,0,23,158,2,40,3,8,192,0,11,4,11,Medium,20,1,Manager,0
100,56,Male,Master,Audit,Senior Consultant,210,2,0,54,8,High,39,0,24,185,2,67,5,15,173,3,7,3,15,Medium,78,0,Manager,0
101,22,Male,PhD,Risk Advisory,Partner,106,3,0,13,5,High,36,0,6,152,5,41,5,29,50,0,16,5,13,High,70,0,Partner,0
102,56,Female,Bachelor,Technology,Senior Consultant,173,5,2,128,1,Low,40,0,13,188,3,73,1,7,202,2,19,2,49,High,29,0,Manager,0
103,58,Male,PhD,Tax,Partner,206,2,2,56,4,Low,7,0,0,102,4,19,2,5,174,1,12,1,49,Low,46,1,Partner,0
104,35,Male,Bachelor,Technology,Senior Consultant,1,1,0,83,0,Mid,76,0,23,92,1,29,5,21,195,0,14,1,70,High,82,1,Manager,0
105,24,Female,Bachelor,Consulting,Partner,212,2,2,13,1,Low,19,0,25,217,2,89,5,12,121,3,10,1,28,High,19,1,Partner,0
106,22,Female,Master,Risk Advisory,Consultant,239,3,1,50,8,High,37,1,10,221,4,92,3,7,107,4,3,3,54,High,48,0,Senior Consultant,0
107,26,Female,Master,Risk Advisory,Analyst,25,1,0,91,9,Mid,8,1,28,244,5,44,5,1,201,1,18,5,10,High,30,1,Consultant,0
108,47,Other,Bachelor,Technology,Senior Consultant,204,3,0,102,0,Mid,74,1,2,149,3,97,4,29,199,3,12,3,15,Medium,48,0,Manager,0
109,35,Male,Bachelor,Technology,Manager,112,4,0,57,3,Mid,36,1,19,211,3,62,5,20,124,2,3,4,7,Medium,10,0,Senior Manager,0
110,48,Female,Master,Consulting,Analyst,103,4,0,120,8,Low,71,1,11,219,5,88,1,12,225,1,15,4,99,Low,8,0,Consultant,0
111,30,Female,Bachelor,Audit,Partner,238,5,0,118,3,Mid,92,1,8,216,5,32,3,27,118,2,8,5,60,Medium,34,0,Partner,0
112,36,Female,MBA,Tax,Analyst,201,2,0,122,9,Mid,41,0,23,92,1,8,5,20,201,0,11,3,50,Medium,14,1,Consultant,0
113,36,Male,Master,Audit,Manager,137,3,0,8,0,Mid,43,0,13,142,4,79,5,16,102,1,8,1,33,Low,8,0,Senior Manager,0
114,47,Male,Bachelor,Risk Advisory,Manager,170,1,0,86,4,Low,82,0,8,199,2,8,5,6,31,3,3,5,66,Medium,3,1,Senior Manager,0
115,34,Female,MBA,Tax,Partner,191,2,0,47,5,High,37,0,19,113,5,14,3,21,24,0,8,4,4,Low,82,1,Partner,0
116,53,Female,Bachelor,Consulting,Senior Consultant,105,5,1,154,0,Low,65,0,26,234,3,63,5,9,226,3,7,3,8,Medium,52,0,Manager,0
117,53,Female,MBA,Audit,Senior Consultant,153,3,0,103,7,Low,54,0,7,102,5,8,5,24,208,3,3,1,30,Medium,88,0,Manager,0
118,25,Female,MBA,Audit,Consultant,222,3,0,199,0,Low,93,0,27,92,5,49,3,22,46,3,13,2,54,Medium,59,0,Senior Consultant,0
119,51,Female,PhD,Tax,Manager,48,4,1,155,5,High,86,0,19,230,3,21,3,20,178,2,4,5,34,Medium,32,0,Senior Manager,0
120,58,Female,Master,Consulting,Consultant,183,5,0,183,8,Low,22,1,16,175,3,51,2,2,148,4,19,5,31,Low,22,0,Senior Consultant,0
121,44,Female,Master,Consulting,Manager,232,3,1,161,2,Low,47,1,3,146,3,78,4,18,22,3,16,2,79,Medium,21,0,Senior Manager,0
122,36,Male,Bachelor,Audit,Consultant,220,4,0,1,4,Low,45,1,10,193,5,90,1,26,183,3,6,1,40,Low,16,0,Senior Consultant,0
123,50,Female,Master,Audit,Senior Consultant,66,4,0,23,0,High,88,0,0,240,2,0,4,23,114,2,8,2,43,Medium,34,0,Manager,0
124,57,Female,Master,Technology,Manager,217,1,0,73,0,High,25,1,13,119,3,39,2,17,96,0,12,1,78,High,81,1,Senior Manager,1
125,34,Male,Master,Tax,Senior Consultant,210,5,0,48,1,Mid,20,0,12,208,1,70,3,26,201,3,15,1,57,Medium,73,0,Manager,0
126,53,Male,MBA,Consulting,Analyst,24,5,0,39,5,Low,30,0,5,113,1,73,4,4,125,0,2,2,68,Low,53,0,Consultant,0
127,28,Male,Bachelor,Risk Advisory,Senior Consultant,82,3,3,7,6,Low,51,0,1,181,2,87,4,6,209,2,8,4,69,Medium,57,0,Manager,0
128,43,Other,MBA,Tax,Manager,91,1,0,68,4,High,71,0,8,198,2,34,1,3,172,2,7,3,83,Low,0,1,Senior Manager,0
129,49,Male,MBA,Technology,Analyst,172,2,0,66,0,Low,3,1,7,230,5,38,3,15,202,1,16,4,40,Low,64,1,Consultant,0
130,23,Female,Master,Tax,Consultant,184,3,0,157,0,Low,70,0,14,185,1,89,2,25,71,1,2,4,72,Medium,39,0,Senior Consultant,0
131,27,Male,Master,Audit,Partner,35,4,0,51,0,Low,80,0,21,177,2,8,4,16,205,4,8,5,93,Low,31,0,Partner,0
132,49,Male,Bachelor,Tax,Manager,34,2,0,38,2,Low,77,0,13,124,4,49,3,15,108,1,4,4,83,Low,96,1,Senior Manager,0
133,49,Female,PhD,Tax,Partner,230,2,0,70,3,High,7,1,24,231,1,34,3,9,228,1,14,4,56,Medium,64,1,Partner,0
134,41,Male,Bachelor,Tax,Partner,6,3,1,84,7,Low,29,0,3,209,5,35,2,23,126,0,14,1,10,Medium,78,1,Partner,0
135,51,Female,Master,Risk Advisory,Analyst,177,1,0,12,8,High,55,0,13,157,2,69,4,0,97,1,9,4,34,Medium,64,0,Consultant,0
136,32,Female,Master,Technology,Consultant,144,5,0,88,4,Mid,75,1,29,177,5,40,4,24,165,4,12,4,99,Medium,15,0,Senior Consultant,0
137,49,Female,PhD,Tax,Senior Consultant,215,1,0,118,3,Low,2,0,23,208,4,72,1,8,61,1,13,3,66,Medium,2,1,Manager,0
138,46,Male,MBA,Tax,Analyst,220,3,0,129,9,High,88,0,2,90,3,21,1,26,158,4,15,3,35,High,83,0,Consultant,0
139,54,Female,Master,Risk Advisory,Consultant,141,5,0,193,8,Mid,26,0,24,112,4,21,2,4,59,4,8,5,47,Medium,89,1,Senior Consultant,0
140,22,Female,Bachelor,Consulting,Senior Consultant,12,2,0,193,5,Mid,45,0,11,187,1,73,1,13,146,3,15,2,55,Low,95,0,Manager,0
141,48,Female,Bachelor,Tax,Senior Consultant,139,4,0,14,2,Low,54,0,20,184,3,7,4,28,51,4,10,2,49,Medium,82,0,Manager,0
142,34,Female,Bachelor,Tax,Consultant,47,1,1,186,6,High,38,1,5,93,1,96,2,1,47,0,7,1,80,High,89,0,Senior Consultant,1
143,24,Female,MBA,Consulting,Senior Consultant,60,5,1,17,8,High,9,1,29,197,2,96,4,2,122,3,7,1,38,High,70,0,Manager,0
144,27,Other,MBA,Tax,Manager,49,1,0,68,9,Mid,100,0,21,126,2,25,4,17,188,2,12,2,32,Medium,57,1,Senior Manager,0
145,29,Female,MBA,Tax,Manager,52,5,0,89,1,Mid,70,0,16,87,5,88,3,26,219,0,17,1,84,Medium,66,0,Senior Manager,0
146,48,Male,Master,Tax,Analyst,61,4,0,29,8,Low,54,0,20,203,1,94,1,5,114,0,15,3,39,Medium,43,0,Consultant,0
147,30,Male,Master,Technology,Senior Consultant,214,3,0,77,1,Mid,47,0,10,221,3,52,4,4,125,4,11,1,72,High,92,0,Manager,1
148,58,Male,Bachelor,Audit,Senior Consultant,95,3,0,132,4,Low,94,0,14,219,3,81,3,28,213,4,8,5,84,Medium,36,0,Manager,0
149,54,Male,Bachelor,Technology,Consultant,120,5,0,167,0,Mid,78,0,13,241,3,57,5,12,29,2,6,1,59,Medium,80,0,Senior Consultant,0
150,45,Male,Bachelor,Consulting,Manager,219,5,0,148,1,Low,48,1,24,193,2,31,2,12,64,0,4,1,93,Low,6,0,Senior Manager,0
151,36,Male,MBA,Technology,Partner,219,3,0,191,6,Low,78,0,13,176,4,13,1,15,227,3,9,3,90,Medium,98,0,Partner,0
152,53,Female,Bachelor,Technology,Analyst,40,2,0,106,3,High,78,1,7,182,2,45,3,20,160,0,15,3,71,Medium,58,1,Consultant,0
153,53,Male,MBA,Risk Advisory,Manager,90,2,1,7,6,High,24,0,24,82,3,62,1,15,178,2,17,5,20,Low,37,1,Senior Manager,0
154,45,Female,Master,Consulting,Consultant,71,2,0,5,3,Low,82,1,29,195,5,8,3,0,215,0,6,3,47,Low,57,1,Senior Consultant,0
155,33,Male,Master,Consulting,Analyst,203,4,0,89,0,Mid,2,0,0,97,3,36,4,23,197,1,5,1,6,Medium,48,1,Consultant,0
156,23,Male,Bachelor,Consulting,Partner,181,5,1,195,5,Low,96,0,2,103,3,70,4,10,141,0,5,4,49,Low,58,0,Partner,0
157,24,Male,Bachelor,Technology,Analyst,61,1,0,57,8,Mid,90,0,15,216,4,50,1,27,136,4,8,1,65,Low,43,0,Consultant,0
158,58,Male,Bachelor,Consulting,Manager,150,1,0,179,5,Mid,31,0,17,100,5,77,3,10,20,3,6,4,71,Medium,77,0,Senior Manager,0
159,38,Female,MBA,Risk Advisory,Partner,232,5,0,157,6,High,21,1,22,114,5,18,4,22,206,0,13,2,8,Medium,6,1,Partner,0
160,23,Female,Bachelor,Tax,Consultant,211,3,0,184,6,Low,93,0,21,235,4,16,4,29,166,0,9,5,92,Medium,61,0,Senior Consultant,0
161,23,Male,MBA,Technology,Analyst,38,5,0,26,0,Low,78,0,1,138,1,44,1,14,183,4,8,3,52,Low,11,0,Consultant,0
162,49,Female,MBA,Tax,Manager,212,2,0,90,1,Low,64,0,19,190,4,85,1,14,181,2,11,2,69,High,52,0,Senior Manager,0
163,44,Female,Bachelor,Tax,Consultant,61,2,0,171,0,Mid,49,0,23,139,3,52,2,22,237,2,2,1,71,High,20,0,Senior Consultant,1
164,58,Female,MBA,Technology,Partner,211,1,1,106,0,Low,47,0,15,176,2,97,3,21,94,1,16,2,6,Medium,31,0,Partner,0
165,53,Female,Master,Technology,Analyst,83,5,0,68,7,Low,1,0,5,174,3,71,2,23,69,4,3,5,48,Medium,7,0,Consultant,0
166,54,Female,MBA,Consulting,Senior Consultant,100,1,1,103,3,Low,34,1,19,143,5,40,5,13,58,2,10,5,97,Low,99,1,Manager,0
167,22,Female,Bachelor,Risk Advisory,Manager,118,3,0,138,9,Mid,32,1,5,193,4,47,4,16,54,2,9,3,97,High,45,0,Senior Manager,1
168,40,Female,Bachelor,Technology,Manager,47,4,1,42,7,High,63,0,4,195,5,98,3,25,204,4,6,3,23,Medium,2,0,Senior Manager,0
169,23,Male,Bachelor,Tax,Senior Consultant,27,4,1,125,4,Low,63,0,16,124,5,73,2,13,67,4,8,2,32,High,53,0,Manager,0
170,47,Male,Bachelor,Technology,Consultant,209,3,1,34,0,Low,52,0,11,120,3,56,5,6,24,4,5,3,76,Medium,90,0,Senior Consultant,0
171,53,Other,MBA,Risk Advisory,Manager,146,2,0,138,8,Low,39,0,28,155,5,73,1,14,150,1,11,4,29,Medium,86,0,Senior Manager,0
172,27,Female,MBA,Audit,Consultant,125,2,0,53,2,Low,76,0,14,96,1,49,5,9,62,0,6,3,51,Medium,50,1,Senior Consultant,0
173,53,Female,PhD,Tax,Partner,20,2,1,49,6,Mid,48,0,4,83,3,1,3,26,62,3,18,1,76,High,10,1,Partner,1
174,25,Female,Bachelor,Audit,Senior Consultant,236,1,0,188,6,Mid,3,0,7,98,2,52,3,22,207,0,15,4,54,Low,78,0,Manager,0
175,32,Male,Bachelor,Audit,Consultant,42,1,0,132,9,Low,14,1,2,109,3,69,5,5,204,4,15,3,96,Medium,91,0,Senior Consultant,0
176,38,Female,Master,Risk Advisory,Partner,41,4,0,114,9,High,86,0,14,227,5,27,2,10,239,3,12,2,50,Medium,64,0,Partner,0
177,59,Female,Bachelor,Technology,Analyst,72,2,1,100,3,Mid,26,0,28,126,2,80,1,11,75,4,11,3,25,Medium,0,0,Consultant,0
178,45,Male,Bachelor,Audit,Manager,58,2,0,153,7,High,35,0,13,124,3,96,4,8,76,2,11,2,15,Medium,59,0,Senior Manager,0
179,26,Female,Master,Consulting,Senior Consultant,40,3,0,96,7,Low,87,0,22,99,5,76,4,11,28,2,14,5,60,Medium,16,0,Manager,0
180,55,Female,Bachelor,Technology,Analyst,203,4,0,160,1,Mid,4,1,15,218,1,92,4,27,221,4,9,1,14,Medium,61,0,Consultant,0
